movie_title,tomatoUserRating,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoUserMeter,tomatoUserReviews,imdbVotes,Metascore
The Negotiator,N/A,N/A,N/A,N/A,N/A,N/A,40,108385,62
Into the Storm,3.1,4.3,144,30,114,42,41767,54979,44
Beverly Hills Cop III,2.9,3.6,49,5,44,35,204866,61378,16
Gremlins 2 The New Batch,3,6.5,43,29,14,57,267817,69596,N/A
The Judge,3.8,5.6,185,88,97,72,47337,139679,48
The Peacemaker,2.8,5.9,32,13,19,39,45526,46904,43
Resident Evil Apocalypse,3.3,3.9,124,26,98,61,407314,153415,35
Bridget Jones The Edge of Reason,3.1,4.7,151,41,110,60,407892,78079,44
Out of Time,N/A,N/A,N/A,N/A,N/A,N/A,36,46560,63
On Deadly Ground,2.5,2.6,30,3,27,35,32914,18163,N/A
The Adventures of Sharkboy and Lavagirl 3D,,,,,,,,,
The Beach,3,4.4,116,22,94,57,216855,179652,43
Raising Helen,3.2,4.6,129,30,99,61,137248,31242,38
Ninja Assassin,3.3,4.3,113,29,84,54,189660,58914,34
For Love of the Game,3.3,6.1,93,43,50,76,43409,26331,43
A Touch of Frost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4515,N/A
Striptease,2.4,3.6,68,8,60,24,53918,35252,N/A
Marmaduke,3,3.1,99,9,90,41,78258,11429,30
Hereafter,2.9,5.7,220,102,118,38,67052,80986,56
Murder by Numbers,2.6,N/A,N/A,N/A,N/A,8,11080,44132,50
Assassins,3,3.7,46,7,39,45,60115,63925,N/A
Hannibal Rising,3.3,3.9,143,21,122,55,549809,87345,35
The Story of Us,3,4.5,81,23,58,58,30641,18549,37
The Host,3.2,3.6,119,10,109,50,53348,93664,35
Basic,3.2,4.5,142,30,112,63,56611,50445,34
Blood Work,3,5.5,150,79,71,40,22132,34767,64
The International,3,5.8,201,119,82,37,165377,80627,52
Escape from L.A.,2.8,5.6,47,25,22,39,64108,54979,N/A
Twisted,2.8,2.9,135,2,133,31,19057,17275,26
The Iron Giant,3.4,8.2,134,129,5,89,203132,131134,85
The Life Aquatic with Steve Zissou,3.5,6.5,15,11,4,62,121,142130,62
Free State of Jones,3.6,5.5,159,75,84,66,19370,17642,53
The Life of David Gale,3.6,4.2,157,30,127,81,60698,89697,31
Man of the House,3,3.4,64,6,58,46,61553,20050,35
Run All Night,3.4,5.7,168,101,67,57,20802,78418,59
Eastern Promises,3.8,7.7,194,173,21,83,148475,191182,82
Into the Blue,3.1,4,126,26,100,57,326465,63983,45
The Messenger The Story of Joan of Arc,3.1,4.5,73,22,51,58,46870,56231,54
Your Highness,2.7,4.2,172,47,125,34,54089,85927,31
Dream House,2.8,3.7,82,5,77,36,29474,47139,35
Mad City,2.9,5.2,27,10,17,42,9578,16700,45
Babys Day Out,,,,,,,,,
The Scarlet Letter,2.8,3,35,5,30,41,20416,12153,N/A
Fair Game,3.4,6.9,170,134,36,65,28489,38719,69
Defiance,3.6,5.9,178,101,77,72,251016,117569,58
Domino,N/A,N/A,N/A,N/A,N/A,N/A,49,58470,36
Jade,2.5,4,28,4,24,27,7146,9348,N/A
Gamer,3,4.2,75,21,54,39,251827,114639,27
Beautiful Creatures,3.4,5.4,174,80,94,54,44075,69012,52
Death to Smoochy,3,5.3,120,50,70,66,59815,34942,38
Zoolander 2,2.3,4.5,197,46,151,22,41359,40592,34
The Big Bounce,2.5,4.1,134,21,113,23,21206,16037,42
What Planet Are You From,2.5,5,77,32,45,28,5953,8123,41
Drive Angry,2.9,5.3,118,54,64,37,40071,82588,44
Street Fighter The Legend of ChunLi,,,,,,,,,
The One,3.1,3.9,85,12,73,51,100598,79697,25
Outlander,3.1,5,62,23,39,44,46793,64245,40
The Adventures of Ford Fairlane,3.2,3.7,28,8,20,68,8509,14600,24
Pirate Radio,3.1,5.7,158,96,62,71,266855,91796,58
Traffic,3.6,8,155,143,12,85,189809,172002,86
Indiana Jones and the Last Crusade,4,7.9,68,60,8,94,766506,526658,65
Anna Karenina,3.2,6.5,178,112,66,50,52233,72255,63
Chappie,3.4,4.9,197,64,133,56,48707,177673,41
The Bone Collector,3.3,4.8,85,24,61,63,218350,121826,45
Panic Room,3.1,6.9,182,138,44,63,235144,209306,65
The Tooth Fairy,2.9,4.5,9,2,7,35,10907,1277,N/A
Three Kings,3.3,7.8,129,121,8,77,185452,139169,82
Child 44,3.1,4.8,74,19,55,42,11704,43182,41
Rat Race,3.1,5,126,55,71,64,403334,94119,52
KPAX,,,,,,,,,
Kate  Leopold,3,5.3,127,63,64,62,189643,65403,44
Bedazzled,2.7,5.5,113,55,58,42,370999,82393,49
The Cotton Club,3.2,6.3,24,18,6,55,7157,12857,N/A
310 to Yuma,,,,,,,,,
Taken 3,3.1,3.5,105,12,93,44,67701,137034,26
Out of Sight,3.2,7.9,88,82,6,74,59340,72420,85
The Cable Guy,2.8,5.5,57,31,26,51,470962,123579,N/A
Earth,3.8,7.2,91,79,12,82,110080,12932,72
Dick Tracy,2.8,5.7,45,29,16,53,77019,48144,N/A
The Thomas Crown Affair,3.3,6.4,99,69,30,77,76092,73705,72
Riding in Cars with Boys,3.1,5.2,109,53,56,66,95395,22792,43
First Blood,3.5,7.1,38,33,5,85,138227,175427,62
Solaris,2.9,6.5,203,133,70,59,47604,68073,65
Happily NEver After,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64,N/A
Mary Reilly,2.8,4.3,42,11,31,40,20636,12001,44
My Best Friends Wedding,,,,,,,,,
Americas Sweethearts,,,,,,,,,
Insomnia,3.3,7.7,200,184,16,76,103999,222030,78
Star Trek First Contact,3.6,7.4,55,51,4,89,99972,99133,71
Jonah Hex,2.4,3.5,145,18,127,20,170595,46300,33
Courage Under Fire,3.2,7.3,53,45,8,65,46665,40787,77
Liar Liar,3.4,6.9,53,43,10,75,987823,223694,68
The Infiltrator,3.7,6.4,151,104,47,74,15741,22353,66
Inchon,2.2,3,8,0,8,10,249,502,N/A
The Flintstones,2.5,3.7,42,9,33,24,260847,61653,38
Taken 2,3.4,4.2,165,35,130,53,211996,242884,45
Scary Movie 3,2.9,4.8,128,46,82,54,804005,112763,49
Miss Congeniality,3.2,5.1,115,48,67,69,975024,139559,43
Journey to the Center of the Earth,3.2,6,155,95,60,51,255995,86002,57
The Princess Diaries 2 Royal Engagement,3.2,4.5,115,29,86,59,478714,54734,43
The Pelican Brief,3.2,5.5,48,25,23,61,75410,60240,50
The Client,3.3,6.1,35,28,7,69,55527,46232,65
The Bucket List,3.8,5.1,168,68,100,77,271065,187655,42
Patriot Games,3.4,6,32,24,8,73,70340,82470,N/A
MonsterinLaw,,,,,,,,,
Prisoners,4.1,7.3,231,188,43,87,105850,397295,74
Training Day,3.7,6.5,155,111,44,89,299902,311134,69
Galaxy Quest,3.1,7.2,115,103,12,78,223448,124085,70
Scary Movie 2,2.9,3.4,109,16,93,52,682477,121554,29
The Muppets,4,8,209,200,9,80,89159,75867,75
Blade,3.6,5.7,93,50,43,78,498881,194194,45
Coach Carter,3.7,6.1,145,94,51,85,406339,93228,57
Changing Lanes,3,7,151,116,35,53,55010,58036,69
Anaconda,2.5,4.7,48,18,30,24,422144,74927,37
Coyote Ugly,3.2,3.9,96,21,75,71,698747,91682,27
Love Actually,3.1,6.3,193,121,72,72,31625875,322459,55
A Bugs Life,,,,,,,,,
From Hell,3.3,5.7,150,86,64,66,202928,126142,54
The Specialist,2.6,3.3,27,1,26,28,41381,50967,N/A
Tin Cup,3,6.5,48,33,15,65,49031,38245,60
Yours Mine and Ours,3.5,5.9,10,5,5,80,57748,5920,N/A
Kicking  Screaming,3,5.1,138,57,81,43,70094,30370,45
The Hitchhikers Guide to the Galaxy,,,,,,,,,
Fat Albert,2.7,4.4,89,22,67,43,60197,9495,39
Resident Evil Extinction,3.4,4.3,94,21,73,58,389937,151542,41
Blended,3.6,3.9,131,18,113,64,52821,89211,31
Last Holiday,3.3,5.8,115,63,52,67,372863,21528,52
The River Wild,3,5.8,29,16,13,51,46775,33086,N/A
The Indian in the Cupboard,2.8,6.3,20,14,6,40,60596,20985,N/A
Savages,3.4,5.7,185,95,90,54,136371,105346,59
Cellular,3.1,5.8,148,81,67,59,78588,79876,60
Johnny English,2.9,4.8,118,39,79,50,401557,116326,51
The Ant Bully,3.1,6.2,115,72,43,42,88727,30463,59
Dune,3.3,5.9,42,24,18,67,70240,98016,N/A
Across the Universe,3.9,5.8,153,81,72,82,333187,92890,56
Revolutionary Road,3.5,6.6,204,137,67,71,106349,154760,69
16 Blocks,3.2,5.9,160,89,71,57,163787,113324,63
Babylon A.D.,2.8,3.1,101,6,95,26,152181,82273,26
The Glimmer Man,2.7,3.4,24,3,21,39,20757,15600,N/A
Multiplicity,2.7,5.5,45,20,25,48,48152,25082,N/A
Aliens in the Attic,2.6,4.5,72,22,50,43,461015,16738,42
The Pledge,3.2,6.8,121,94,27,59,21850,43234,71
The Producers,3.7,8,64,58,6,85,55868,40635,97
Dredd,3.7,6.5,150,117,33,72,152431,206098,59
The Phantom,2.4,5.2,44,18,26,30,43737,27979,N/A
All the Pretty Horses,3,4.9,99,32,67,42,11895,11451,55
Nixon,3.5,6.8,60,45,15,74,12488,24239,66
The Ghost Writer,3.5,7.3,197,164,33,70,59960,133382,77
Deep Rising,2.8,4.2,29,9,20,43,21898,26777,N/A
Miracle at St. Anna,3.3,5.2,119,40,79,50,16854,15807,37
Curse of the Golden Flower,3.5,6.4,122,81,41,65,50950,36859,70
Bangkok Dangerous,2.8,3.4,94,8,86,26,132316,48734,24
Big Trouble,3,5.4,112,54,58,54,21108,17509,47
Love in the Time of Cholera,3.1,4.8,109,28,81,45,32746,19197,43
The Returned,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16094,N/A
Shadow Conspiracy,2.6,3,28,0,28,17,2936,3837,N/A
Johnny English Reborn,3.2,4.8,88,34,54,44,38260,90500,46
Foodfight,1.2,N/A,N/A,N/A,N/A,9,1901,4713,N/A
Argo,4.2,8.4,306,293,13,90,206358,460660,86
The Fugitive,3.6,7.9,72,69,3,89,266634,215746,88
The Bounty Hunter,3.3,3.4,143,18,125,51,263945,97931,22
Sleepers,3.6,6.6,54,40,14,85,92509,156247,49
Rambo First Blood Part II,3.1,4.1,33,10,23,60,99206,119546,N/A
The Juror,2.8,4.3,20,3,17,31,15133,14186,N/A
Pinocchio,3.3,9.2,42,42,0,72,278275,91515,N/A
Heavens Gate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Underworld Evolution,3.6,3.8,101,16,85,72,566650,158192,36
Victor Frankenstein,2.9,4.5,124,30,94,35,28041,32661,36
Finding Forrester,3.5,6.5,125,92,33,79,81782,73498,62
28 Days,2.9,4.8,83,26,57,51,319570,35030,46
Unleashed,3.5,6.2,130,85,45,75,92541,86486,58
The Sweetest Thing,3,4.2,107,28,79,65,199589,46425,32
The Firm,3.2,6.2,52,39,13,64,67510,90406,58
Charlie St. Cloud,3.4,4.6,124,34,90,60,92131,48086,37
The Mechanic,3.3,5.6,156,82,74,51,57397,122779,49
21 Jump Street,4,7.2,210,178,32,82,256221,415695,69
Notting Hill,3.3,7.1,98,81,17,79,507726,206356,66
Chicken Run,3,8.1,170,165,5,64,547643,142677,88
Along Came Polly,3.1,4.8,157,40,117,47,463057,107767,44
Boomerang,2.8,4.9,30,12,18,59,35830,20394,45
The Heat,3.8,6.2,169,110,59,71,166378,135403,60
Cleopatra,3.4,5.9,33,18,15,69,20395,21970,N/A
Here Comes the Boom,3.7,4.8,93,35,58,65,60430,75060,40
High Crimes,N/A,N/A,N/A,N/A,N/A,N/A,67,30446,48
The Mirror Has Two Faces,3.5,5.3,30,16,14,72,9445,11552,N/A
The Mothman Prophecies,3,5.5,138,72,66,56,52996,64492,52
Brno,4,N/A,N/A,N/A,N/A,90,214,716,N/A
Licence to Kill,3.1,6.1,52,40,12,60,63604,75125,N/A
Red Riding Hood,2.9,3.7,193,20,173,39,75143,92264,29
15 Minutes,2.9,4.4,123,40,83,38,50564,42920,34
Super Mario Bros.,2.4,3.7,34,5,29,28,173003,38780,N/A
Lord of War,3.6,6.2,143,87,56,85,389442,251494,62
Hero,2.8,N/A,N/A,N/A,N/A,80,54,151127,85
One for the Money,3,2.9,52,1,51,42,36790,34571,22
The Interview,3.2,5.6,134,69,65,48,63551,252191,52
The Warriors Way,,,,,,,,,
McHales Navy,,,,,,,,,
Micmacs,3.7,6.6,133,98,35,74,10877,24867,62
8 Mile,3.1,6.8,206,157,49,54,32167084,190995,77
Animal Kingdom Lets go Ape,,,,,,,,,
A Knights Tale,,,,,,,,,
The Medallion,2.7,3.9,125,22,103,27,59246,30238,38
The Sixth Sense,3.8,7.6,150,128,22,89,1034495,715562,64
Man on a Ledge,3.3,4.8,150,47,103,52,41009,126328,40
The Big Year,3,5,102,41,61,40,21382,35250,53
The Karate Kid,3.3,6.9,42,38,4,82,315529,130314,N/A
American Hustle,3.8,8.2,257,239,18,74,174496,362314,90
The Proposal,3.4,5.3,181,80,101,67,859703,231118,48
Double Jeopardy,3.2,4.4,84,21,63,61,177988,57115,40
Back to the Future Part II,3.5,6.1,60,38,22,85,748575,347984,57
Lucy,3.2,6.1,209,141,68,47,133733,336042,61
Fifty Shades of Grey,2.9,4.2,243,60,183,42,81994,225148,46
Spy Kids 3D Game Over,,,,,,,,,
A Time to Kill,3.6,6.1,51,34,17,85,94695,100957,54
Cheaper by the Dozen,3.1,4.5,118,28,90,56,723584,75914,46
Lone Survivor,4.2,6.6,208,157,51,87,112330,207943,60
A League of Their Own,3.4,6.7,57,44,13,84,366383,72519,67
The Conjuring 2,4,6.7,206,165,41,82,51194,109317,65
The Social Network,4.1,9,290,277,13,86,201701,488232,95
Hes Just Not That Into You,,,,,,,,,
Scary Movie 4,3.1,4.7,126,46,80,51,562152,94725,40
Scream 3,2.8,5.2,111,40,71,37,404276,100264,56
Back to the Future Part III,3.4,6.5,43,32,11,78,693257,291106,55
Get Hard,3.2,4.3,167,48,119,45,52828,88935,34
Bram Stokers Dracula,,,,,,,,,
Julie  Julia,3.5,6.7,212,160,52,70,363024,80175,66
42,4.1,6.8,178,140,38,86,119098,67345,62
The Talented Mr. Ripley,3.4,7.3,127,105,22,80,130945,140066,76
Dumb and Dumber To,2.8,4.3,139,41,98,35,65428,99074,36
Eight Below,3.4,6.5,146,105,41,79,374148,49678,64
The Intern,3.8,5.8,170,105,65,74,43996,142360,51
Ride Along 2,3.3,3.8,103,15,88,49,34541,32473,32
The Last of the Mohicans,3.6,7.9,36,34,2,88,206770,114777,76
Ray,3.8,7.3,198,160,38,87,214198,111657,73
Sin City,3.3,7.5,245,190,55,78,32221743,666135,74
Vantage Point,3.3,5,154,54,100,57,373385,128608,40
I Love You Man,2.7,6.9,202,169,33,74,1550732,167888,70
Shallow Hal,3,5.5,126,64,62,45,620911,110402,48
JFK,3.8,7.7,60,51,9,88,62034,115078,72
Big Mommas House 2,,,,,,,,,
The Mexican,2.9,5.5,129,72,57,44,132167,88407,43
Unbroken,3.7,6,206,106,100,70,52793,106866,59
17 Again,3.6,5.4,142,78,64,67,465513,148971,48
The Other Woman,3.5,4.2,148,35,113,57,64976,106894,39
The Final Destination,3.1,4.2,94,27,67,35,603539,76873,30
Bridge of Spies,4,7.7,262,239,23,87,63403,193602,81
Behind Enemy Lines,3.2,4.8,130,48,82,62,321617,87875,49
Get Him to the Greek,3.3,6.3,191,138,53,62,213465,148690,65
Shall We Dance,3,5.5,152,70,82,57,205427,35834,47
Small Soldiers,2.8,6.2,44,21,23,44,123157,78272,N/A
Spawn,2.8,4,43,8,35,37,185847,53368,34
The Count of Monte Cristo,3.6,6.7,143,105,38,88,208888,106582,61
The Lincoln Lawyer,3.8,6.6,166,138,28,82,68001,175364,63
Unknown,3.4,5.8,192,107,85,55,75567,213301,56
The Prestige,4,7.1,188,142,46,92,547853,860347,66
Horrible Bosses 2,3.2,4.6,139,47,92,47,58204,116798,40
Escape from Planet Earth,3.4,4.6,43,14,29,54,35262,20820,35
Apocalypto,3.7,6.3,196,128,68,79,441467,238174,68
The Living Daylights,3.2,6.4,50,35,15,66,53491,70369,N/A
Predators,3.2,5.8,187,119,68,51,159182,173237,51
Legal Eagles,2.8,5.2,15,7,8,33,5147,7941,N/A
Secret Window,3.3,5.5,160,74,86,65,428730,149827,46
The Lake House,3.5,5,155,55,100,73,429635,115152,52
The Skeleton Key,3.1,5.3,149,56,93,58,192030,88746,47
The Odd Life of Timothy Green,3.7,5.2,125,43,82,67,204908,37846,47
Made of Honor,3.3,4,115,16,99,55,399307,55213,37
Jersey Boys,3.6,5.9,201,105,96,62,25322,25898,54
The Rainmaker,3.4,6.9,45,37,8,77,39016,47133,72
Gothika,3,4.1,166,24,142,45,397589,90788,38
Amistad,3.5,6.9,62,47,15,79,50805,57003,63
Medicine Man,2.9,4,20,4,16,46,37396,17580,N/A
Aliens vs. Predator Requiem,2.7,3.1,69,8,61,31,211616,93647,29
Rihie Rih,,,,,,,,,
Autumn in New York,2.9,4.1,71,14,57,54,33478,20394,24
Music and Lyrics,3.4,5.9,167,104,63,68,514622,82261,59
Paul,3.6,6.3,197,140,57,62,329936,194953,57
The Guilt Trip,3,5.1,124,47,77,39,39600,30826,50
Scream 4,3.3,5.8,174,102,72,55,76256,105478,52
8MM,3,4.2,78,17,61,52,137676,105195,19
The Doors,3.6,6,59,32,27,80,60364,68911,62
Sex Tape,2.8,4,145,25,120,33,51642,85621,36
Hanging Up,2.7,3.8,85,10,75,34,21229,10251,33
Final Destination 5,3.3,5.9,130,80,50,52,51770,85246,50
Mickey Blue Eyes,2.7,5.4,76,34,42,42,56890,30171,49
Pay It Forward,3.5,5,128,51,77,77,274878,97334,40
Fever Pitch,3,6.3,189,122,67,60,166592,36613,56
Arthur,3.1,4.4,188,48,140,44,45444,45968,36
Drillbit Taylor,3.1,4.5,142,36,106,44,97884,50622,41
A Million Ways to Die in the West,3,4.9,192,63,129,40,64054,138976,44
The Shadow,2.7,4.6,46,16,30,44,32110,19021,N/A
Extremely Loud  Incredibly Close,3.5,5.5,178,81,97,61,79560,82797,46
Morning Glory,3.3,6,173,97,76,51,50071,59606,57
Get Rich or Die Tryin,3.2,4.4,118,19,99,70,297941,36365,45
The Art of War,2.9,3.9,80,13,67,36,26570,25519,30
Rent,3.5,5.8,170,78,92,83,340865,41929,53
Bless the Child,2.8,3,113,3,110,42,35230,12084,17
The OutofTowners,,,,,,,,,
The Island of Dr. Moreau,2.4,4.3,32,7,25,20,43160,26214,N/A
The Musketeer,2.8,3.2,99,11,88,33,20728,12941,27
The Other Boleyn Girl,3.4,5.3,139,59,80,62,204970,85274,50
Sweet November,3.4,3.5,96,15,81,76,94508,71156,27
The Reaping,3.2,3.5,132,11,121,49,78895,37684,36
Mean Streets,3.9,8.9,51,50,1,85,53951,68809,N/A
Renaissance Man,2.9,4.4,18,3,15,52,30450,13982,44
Colombiana,3.8,4.8,95,26,69,67,161690,77421,45
The Magic Sword Quest for Camelot,3.1,5.3,22,8,14,59,26803,11304,N/A
City by the Sea,2.9,5.8,143,68,75,40,16024,21494,50
At First Sight,2.9,5.2,38,12,26,46,19534,11391,40
Torque,2.9,4.2,115,26,89,41,71073,23924,41
City Hall,3,6,24,13,11,38,11405,16918,N/A
Showgirls,2.3,3.1,48,9,39,36,56570,50602,16
Marie Antoinette,3,6,179,99,80,56,262091,80950,65
Kiss of Death,3,6.5,37,25,12,38,9334,14353,N/A
Get Carter,2.5,3.6,60,7,53,27,29794,27647,24
The Impossible,4,7.3,186,151,35,84,47998,147541,73
Ishtar,2.4,4,33,10,23,38,4985,8707,52
Fantastic Mr. Fox,3.9,7.9,225,208,17,84,150769,141909,83
Life or Something Like It,2.8,4.5,121,34,87,44,44445,19485,31
Memoirs of an Invisible Man,2.6,4.6,27,6,21,31,19173,17563,N/A
Amlie,,,,,,,,,
New York Minute,3,3.5,117,13,104,47,83972,17948,33
Alfie,2.9,5.5,150,73,77,51,85245,43693,49
Big Miracle,3.6,6.2,98,72,26,64,38831,15384,61
The Deep End of the Ocean,3.2,5.8,34,15,19,59,19837,10525,45
Feardotcom,2.3,2.6,99,3,96,17,57842,17391,16
Cirque du Freak The Vampires Assistant,,,,,,,,,
Victor Frankenstein,2.9,4.5,124,30,94,35,28041,32661,36
Duplex,2.9,5,109,38,71,40,71946,46846,50
Soul Men,3.3,5,98,44,54,57,54228,7859,49
Raise the Titanic,2.9,5.2,6,3,3,29,7020,2949,N/A
Universal Soldier The Return,2.4,2.7,58,3,55,23,43434,24421,24
Pandorum,3.1,4.2,81,23,58,48,104518,123042,28
Impostor,3,3.9,93,20,73,41,7352,20157,33
Extreme Ops,2.6,3,66,5,61,27,8115,4854,17
Just Visiting,2.9,4.7,78,26,52,53,9454,15214,38
Sunshine,N/A,N/A,N/A,N/A,N/A,N/A,35,192540,64
A Thousand Words,3.1,3.2,54,0,54,47,74751,31343,26
Delgo,2.6,3.6,43,5,38,26,2316,2475,27
The Gunman,2.8,4.4,162,28,134,32,13445,29520,39
Alex Rider Operation Stormbreaker,3.2,4.7,67,23,44,53,93894,20421,42
Disturbia,3.7,6.2,172,118,54,77,1452152,188406,62
Hackers,3.2,4.7,44,14,30,68,122069,55259,46
The Hunting Party,3.4,6,90,48,42,67,39911,22168,54
The Hudsucker Proxy,3.6,6.2,40,23,17,79,43000,66030,53
The Warlords,3.5,6.2,52,34,18,70,50212,23034,70
Nomad The Warrior,3.1,4.4,16,1,15,40,6716,3323,49
Snowpiercer,3.7,8.1,214,203,11,72,56150,186930,84
A Monster in Paris,3.6,5.9,20,17,3,65,8617,15982,N/A
The Last Shot,2.8,6,67,41,26,31,3208,3795,47
The Crow,3.8,7,50,41,9,90,376420,137937,71
Baahubali The Beginning,4.3,7,6,5,1,88,1730,65612,N/A
The Time Travelers Wife,,,,,,,,,
Because I Said So,3.3,3.2,156,7,149,65,507086,32595,26
The Fast and the Furious,3.4,5.4,147,78,69,74,1042713,276381,58
Frankenweenie,3.7,7.6,200,174,26,70,67104,76067,74
Serenity,3.9,7.1,180,148,32,91,312438,245263,74
Against the Ropes,2.8,4.2,132,16,116,28,10000,5890,36
Superman III,2.7,4.5,43,11,32,23,166817,50822,42
Grudge Match,3.2,4.6,130,38,92,46,35904,47313,35
Red Cliff,3.8,7.2,113,101,12,78,22455,37118,73
Sweet Home Alabama,3.3,5.2,157,59,98,78,802406,84849,45
The Ugly Truth,3,3.7,169,22,147,60,1399100,165988,28
Sgt. Bilko,2.7,4.3,37,12,25,46,32877,17936,N/A
Spy Kids 2 Island of Lost Dreams,2.6,6.6,133,99,34,38,126013,45492,66
Star Trek Generations,3.3,5.5,49,24,25,57,70108,61621,55
The Grandmaster,3.4,6.7,125,98,27,58,17514,24845,73
Water for Elephants,3.7,6.1,189,114,75,70,68052,96380,52
3rd Rock from the Sun,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38624,N/A
Dragon Nest Warriors Dawn,3.2,N/A,N/A,N/A,N/A,54,112,2235,N/A
The Hurricane,3.7,7,113,94,19,87,55362,76932,74
Enough,3.1,4,123,27,96,67,123296,30987,25
Heartbreakers,2.9,5.3,120,63,57,51,71163,44596,47
Paul Blart Mall Cop 2,2.7,2.6,56,3,53,34,37204,24094,13
Angel Eyes,N/A,N/A,N/A,N/A,N/A,N/A,51,19829,39
Joe Somebody,N/A,4.5,30,12,18,N/A,41,8504,42
The Ninth Gate,3.2,5,87,36,51,57,121251,138382,44
Extreme Measures,2.9,6,33,18,15,40,10964,14267,N/A
Rock Star,2.9,N/A,N/A,N/A,N/A,43,58,34853,54
Precious,3.6,7.8,222,203,19,81,140835,87877,79
White Squall,3.2,5.8,35,21,14,65,18501,18032,53
The Thing,3.8,7.3,53,43,10,92,129910,264307,N/A
Riddick,3.4,5.4,159,93,66,56,97021,126960,49
Switchback,3,4.8,25,8,17,46,7396,9882,N/A
Texas Rangers,2.8,3.3,49,1,48,29,7316,4785,29
City of Ember,3.2,5.7,124,66,58,46,64000,53770,58
The Master,3.4,8.1,228,195,33,61,49363,107822,86
Virgin Territory,2.6,N/A,N/A,N/A,N/A,22,4365,6728,N/A
The Express,3.1,6.2,115,70,45,74,820166,16797,58
The 5th Wave,2.9,4.2,125,20,105,39,31106,63160,33
Creed,4.2,7.9,251,237,14,89,73249,157835,82
The Town,3.9,7.7,214,201,13,85,140413,283410,74
What to Expect When Youre Expecting,,,,,,,,,
Burn After Reading,3.3,6.9,229,179,50,64,186508,251764,63
Nims Island,,,,,,,,,
Rush,4.1,7.6,211,188,23,88,78200,319313,75
Magnolia,3.7,7.5,141,118,23,89,191914,243219,77
Cop Out,3,3.8,158,30,128,39,488980,76053,31
How to Be Single,3.2,5.2,132,65,67,48,26936,46945,51
Dolphin Tale,4,6.5,107,87,20,80,45098,18198,64
Twilight,3.9,5.4,206,99,107,72,625706,351377,56
John Q,3.6,4.4,131,30,101,78,169217,100143,30
Blue Streak,3,4.8,69,25,44,65,201355,61347,46
Were the Millers,,,,,,,,,
Obitaemyy ostrov,3.1,N/A,N/A,N/A,N/A,37,457,4406,N/A
Breakdown,3.1,7.1,50,40,10,66,35817,38925,73
Never Say Never Again,3.1,5.5,46,29,17,38,52250,49271,N/A
Hot Tub Time Machine,3.3,6.1,199,126,73,56,166798,140699,63
Dolphin Tale 2,3.9,5.9,79,53,26,72,27942,6194,58
Reindeer Games,2.5,4.2,88,22,66,27,43012,31398,37
A Man Apart,3.4,4,130,14,116,62,85283,38842,36
Aloha,2.6,4.3,154,30,124,28,29414,40997,40
Ghosts of Mississippi,3.4,5.7,29,13,16,62,8614,8559,N/A
Snow Falling on Cedars,3.4,5.2,91,36,55,68,8209,12409,44
The Rite,3,4.3,162,33,129,40,52340,76952,38
Gattaca,3.5,7.1,55,45,10,87,207502,224481,64
Isnt She Great,,,,,,,,,
Space Chimps,2.8,4.6,92,31,61,32,124253,8925,36
Head of State,2.8,4.9,118,36,82,47,55844,15125,44
The Hangover,4,6.8,227,179,48,84,941841,591952,73
Ip Man 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24890,57
Austin Powers The Spy Who Shagged Me,3.3,6,85,43,42,71,941702,183323,59
Batman,3.5,6.6,68,49,19,84,908960,273961,69
There Be Dragons,3.3,4,38,4,34,54,2375,3897,33
Lethal Weapon 3,3.2,5.5,43,24,19,61,238453,129807,36
The Blind Side,4.1,6.1,197,130,67,85,430818,227074,53
Rush Hour,3.4,6,70,42,28,78,901542,190739,60
Spy Kids,2.6,7.2,127,118,9,46,426875,85319,71
Horrible Bosses,3.6,6.2,208,142,66,70,105886,356823,57
True Grit,4,8.4,262,252,10,85,156467,243957,80
The Devil Wears Prada,3.6,6.7,188,142,46,76,570781,290735,62
Star Trek The Motion Picture,3.1,5.7,35,16,19,42,65399,64874,48
Identity Thief,3.4,4.1,165,32,133,53,192382,99250,35
Cape Fear,3.5,7.1,46,35,11,77,67939,129992,73
21,3.6,5.2,165,59,106,66,367382,193525,48
Trainwreck,3.5,7.1,236,201,35,67,68148,97494,75
Guess Who,3,5.4,148,63,85,49,269506,34182,49
The English Patient,3.6,7.6,76,64,12,83,81209,144261,87
L.A. Confidential,3.8,8.7,108,107,1,94,149119,419413,90
Sky High,3,6.5,127,93,34,57,202866,62589,62
In  Out,2.9,6.8,50,36,14,51,38829,32686,70
Species,2.7,4.8,35,12,23,31,49440,62033,N/A
A Nightmare on Elm Street,3.5,7.7,47,44,3,83,413591,153517,78
The Cell,2.8,5.3,146,67,79,57,180534,80761,40
The Man in the Iron Mask,3.1,5.4,36,12,24,55,318710,127596,48
Secretariat,3.8,6.1,145,92,53,76,49804,21105,61
TMNT,3.2,5,115,39,76,60,367982,54094,41
