movie_title,tomatoUserRating,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoUserMeter,tomatoUserReviews,imdbVotes,Metascore
Terminator 3 Rise of the Machines,3.1,6.6,201,141,60,46,440422,308532,66
Guardians of the Galaxy,4.4,7.8,288,263,25,92,247343,701014,76
Interstellar,4.1,7,308,219,89,85,169265,961788,74
Inception,4.2,8.1,331,285,46,91,565347,1501172,74
Godzilla Resurgence,3.9,6.7,34,29,5,80,3888,1363,N/A
The Hobbit An Unexpected Journey,4.1,6.5,277,178,99,83,471668,647392,58
The Fast and the Furious,3.4,5.4,147,78,69,74,1042713,276381,58
The Curious Case of Benjamin Button,3.7,7.1,238,171,67,80,689449,467659,70
XMen First Class,,,,,,,,,
The Hunger Games Mockingjay  Part 2,3.6,6.5,246,172,74,66,200440,179576,65
The Sorcerers Apprentice,,,,,,,,,
Poseidon,2.9,4.9,199,65,134,43,341905,83242,50
Alice Through the Looking Glass,3.3,4.6,213,64,149,52,34987,38185,34
Shrek the Third,3.4,5.4,206,84,122,52,2217953,214498,58
Warcraft,3.9,4.2,190,53,137,74,53684,157047,32
Terminator Genisys,3.3,4.7,232,59,173,54,81232,194126,38
The Chronicles of Narnia The Voyage of the Dawn Treader,3.5,5.7,160,79,81,58,157011,108324,53
Pearl Harbor,3.3,4.5,190,47,143,67,904720,256780,44
Transformers,3.9,N/A,N/A,N/A,N/A,75,232,518896,61
Alexander,2.6,3.9,195,32,163,34,237485,140218,39
Harry Potter and the Order of the Phoenix,3.9,6.9,244,191,53,81,2330688,362633,71
Harry Potter and the Goblet of Fire,3.4,7.5,246,217,29,74,34151451,394780,81
Hancock,3.6,5.4,218,89,129,59,556437,348219,49
I Am Legend,3.6,6.4,207,145,62,68,1128576,541217,65
Charlie and the Chocolate Factory,3,7.2,221,183,38,51,32494408,325855,72
Ratatouille,3.9,8.4,241,231,10,87,1069766,482609,96
Batman Begins,3.9,7.7,268,226,42,94,1110770,1000101,70
Madagascar Escape 2 Africa,3.6,5.9,149,95,54,66,365646,149465,61
Night at the Museum Battle of the Smithsonian,3.3,5.1,163,71,92,47,508523,132748,42
XMen Origins Wolverine,,,,,,,,,
The Matrix Revolutions,3.4,5.3,211,75,136,60,790957,367918,47
Frozen,4.3,7.7,222,198,24,86,303605,429988,74
The Matrix Reloaded,3.4,6.8,240,175,65,72,941167,427520,62
Thor The Dark World,3.9,6.2,247,163,84,77,306165,419878,54
Mad Max Fury Road,4.2,8.6,356,344,12,86,121205,577243,90
Angels  Demons,3.4,5.1,249,92,157,57,531186,215705,48
Thor,3.8,6.7,267,205,62,76,242745,545930,57
Bolt,3.6,7.2,177,157,20,74,314517,149121,67
GForce,,,,,,,,,
Wrath of the Titans,3.3,4.5,166,43,123,49,157812,154192,37
Dark Shadows,3.2,5.3,233,86,147,46,256741,202934,55
Mission Impossible  Rogue Nation,4.1,7.5,276,257,19,87,91199,240498,75
The Wolfman,2.9,4.8,209,72,137,33,223116,90240,43
The Legend of Tarzan,3.6,5,198,71,127,62,55405,80540,44
Bee Movie,3.2,5.7,169,86,83,53,387515,107190,54
Kung Fu Panda 2,3.8,6.9,167,135,32,74,144560,187585,67
The Last Airbender,2.6,2.8,183,11,172,30,321628,120495,20
Mission Impossible III,3.4,6.6,219,153,66,69,507838,260755,66
White House Down,3.6,5.4,187,94,93,62,127401,167658,52
Mars Needs Moms,3,5,111,41,70,40,27574,17771,49
Flushed Away,3.3,6.7,130,94,36,65,249336,86340,74
